Day,Quality,Sample,Abun
1,good,wine.manual10.1.1,0
14,good,wine.manual10.1.14,0
2,good,wine.manual10.1.2,0
30,good,wine.manual10.1.30,0
4,good,wine.manual10.1.4,0
7,good,wine.manual10.1.7,0
70,good,wine.manual10.1.70,0
1,good,wine.manual10.2.1,0
14,good,wine.manual10.2.14,0
2,good,wine.manual10.2.2,3.33333E-05
30,good,wine.manual10.2.30,0
4,good,wine.manual10.2.4,3.33333E-05
60,good,wine.manual10.2.60,0
7,good,wine.manual10.2.7,0
70,good,wine.manual10.2.70,0
14,good,wine.manual10.3.14,0
2,good,wine.manual10.3.2,0
30,good,wine.manual10.3.30,0
4,good,wine.manual10.3.4,0
60,good,wine.manual10.3.60,0
7,good,wine.manual10.3.7,0
70,good,wine.manual10.3.70,0
1,poor,wine.manual3.1.1,3.68963E-05
14,poor,wine.manual3.1.14,0
2,poor,wine.manual3.1.2,0
30,poor,wine.manual3.1.30,0
4,poor,wine.manual3.1.4,0
60,poor,wine.manual3.1.60,0
7,poor,wine.manual3.1.7,0
1,poor,wine.manual3.2.1,0
14,poor,wine.manual3.2.14,0.0002
2,poor,wine.manual3.2.2,0.000111811
30,poor,wine.manual3.2.30,0.000119133
4,poor,wine.manual3.2.4,0.0001
7,poor,wine.manual3.2.7,0
16,intermediate,wine.manual3.3.16,0
2,intermediate,wine.manual3.3.2,0.000205381
30,intermediate,wine.manual3.3.30,6.66667E-05
4,intermediate,wine.manual3.3.4,0
60,intermediate,wine.manual3.3.60,7.57031E-05
7,intermediate,wine.manual3.3.7,0
70,intermediate,wine.manual3.3.70,0.000189833
1,poor,wine.manual4.1.1,0
14,poor,wine.manual4.1.14,0
2,poor,wine.manual4.1.2,3.61834E-05
30,poor,wine.manual4.1.30,0
4,poor,wine.manual4.1.4,3.33333E-05
7,poor,wine.manual4.1.7,0
1,poor,wine.manual4.2.1,0.0001
14,poor,wine.manual4.2.14,0
2,poor,wine.manual4.2.2,4.03682E-05
30,poor,wine.manual4.2.30,3.33333E-05
4,poor,wine.manual4.2.4,9.86339E-05
7,poor,wine.manual4.2.7,3.83789E-05
16,good,wine.manual4.3.16,0
2,good,wine.manual4.3.2,3.7165E-05
30,good,wine.manual4.3.30,0
4,good,wine.manual4.3.4,0
7,good,wine.manual4.3.7,0
1,good,wine.manual9.1.1,0
14,good,wine.manual9.1.14,0
2,good,wine.manual9.1.2,0
30,good,wine.manual9.1.30,0
4,good,wine.manual9.1.4,0
7,good,wine.manual9.1.7,0
70,good,wine.manual9.1.70,0
1,good,wine.manual9.2.1,0
14,good,wine.manual9.2.14,0.000166667
2,good,wine.manual9.2.2,6.66667E-05
30,good,wine.manual9.2.30,0.000110571
4,good,wine.manual9.2.4,3.33333E-05
60,good,wine.manual9.2.60,8.25253E-05
7,good,wine.manual9.2.7,0.0001
70,good,wine.manual9.2.70,0
16,intermediate,wine.manual9.3.16,3.33333E-05
2,intermediate,wine.manual9.3.2,0.0002
30,intermediate,wine.manual9.3.30,3.33333E-05
4,intermediate,wine.manual9.3.4,0.000266667
60,intermediate,wine.manual9.3.60,0.000109971
7,intermediate,wine.manual9.3.7,0
70,intermediate,wine.manual9.3.70,0
